subject,label,position,trial,prob
1,0,0,0,0.01588856428861618
1,0,2,0,0.0034402140881866217
1,0,4,0,0.036640334874391556
1,0,6,0,0.08509282022714615
1,0,8,0,0.6850533783435822
1,0,10,0,0.5157656371593475
1,0,12,0,0.02179240994155407
1,0,14,0,0.020036171190440655
1,0,16,0,0.0847112350165844
1,0,18,0,0.04107680357992649
1,0,20,0,0.023233562707901
1,0,22,0,0.5302787721157074
1,0,24,0,0.6367077529430389
1,0,26,0,0.6594299674034119
1,0,28,0,0.6581071317195892
1,1,30,0,0.5505296587944031
1,1,32,0,0.7709452211856842
1,1,34,0,0.6587008535861969
1,1,36,0,0.9330053627490997
1,1,38,0,0.9390615224838257
1,1,40,0,0.9782607555389404
1,1,42,0,0.8765286505222321
1,1,44,0,0.9081960022449493
1,1,46,0,0.9731511473655701
1,1,48,0,0.9659237563610077
1,1,50,0,0.9256086945533752
1,1,52,0,0.9812606275081635
1,1,54,0,0.9786430895328522
1,1,56,0,0.9795027077198029
1,1,58,0,0.9841630458831787
1,1,60,0,0.9884307086467743
1,1,62,0,0.9436703026294708
1,1,64,0,0.9854328036308289
1,1,65,0,0.9882851243019104
1,0,0,1,0.013916888041421771
1,0,2,1,0.06112281233072281
1,0,4,1,0.11671871691942215
1,0,6,1,0.004380839178338647
1,0,8,1,0.008794592693448067
1,0,10,1,0.07414231449365616
1,0,12,1,0.008310010889545083
1,0,14,1,0.004448476480320096
1,0,16,1,0.007298873504623771
1,0,18,1,0.0148871592245996
1,0,20,1,0.011470000725239515
1,0,22,1,0.4050438553094864
1,0,24,1,0.3301306664943695
1,0,26,1,0.167546346783638
1,0,28,1,0.22154924273490906
1,1,30,1,0.7179119288921356
1,1,32,1,0.8296526372432709
1,1,34,1,0.8092423379421234
1,1,36,1,0.9516562223434448
1,1,38,1,0.9690770506858826
1,1,39,1,0.8537903130054474
1,1,40,1,0.3609617277979851
1,1,41,1,0.9693781733512878
1,1,42,1,0.9570770263671875
1,1,43,1,0.7638593018054962
1,1,44,1,0.9213506281375885
1,1,45,1,0.9689222574234009
1,1,46,1,0.9783394038677216
1,1,47,1,0.9818907678127289
1,1,48,1,0.9835132658481598
1,1,49,1,0.9893013834953308
1,1,50,1,0.9796225130558014
1,1,51,1,0.9897590577602386
1,0,0,2,0.017233083955943584
1,0,2,2,0.09527286514639854
1,0,4,2,0.05044473893940449
1,0,6,2,0.008897995692677796
1,0,8,2,0.005185962654650211
1,0,10,2,0.07519892603158951
1,0,12,2,0.019801640883088112
1,0,14,2,0.009426492266356945
1,0,16,2,0.04354599304497242
1,0,18,2,0.21627645194530487
1,0,20,2,0.04010501131415367
1,0,22,2,0.07156712934374809
1,0,24,2,0.10942644998431206
1,0,26,2,0.03807888180017471
1,0,28,2,0.3518524765968323
1,1,30,2,0.4202500581741333
1,1,32,2,0.8937101066112518
1,1,34,2,0.4647739678621292
1,1,36,2,0.20671504735946655
1,1,38,2,0.16873405873775482
1,1,40,2,0.6267749965190887
1,1,42,2,0.8353672921657562
1,1,44,2,0.8258969485759735
1,1,46,2,0.42973609268665314
1,1,48,2,0.9196250736713409
1,0,0,3,0.004459839197807014
1,0,2,3,0.0004233859363012016
1,0,4,3,0.004121633362956345
1,0,6,3,0.003903869539499283
1,0,8,3,0.036578577011823654
1,0,10,3,0.16970430687069893
1,0,12,3,0.06951730698347092
1,0,14,3,0.028378776274621487
1,0,16,3,0.19331373274326324
1,0,18,3,0.03363756462931633
1,0,20,3,0.008360802428796887
1,0,22,3,0.033517870120704174
1,0,24,3,0.09753481671214104
1,0,26,3,0.1938883513212204
1,0,28,3,0.42533908784389496
1,1,30,3,0.815305769443512
1,1,32,3,0.7027185559272766
1,1,34,3,0.7088309526443481
1,1,36,3,0.5539398193359375
1,1,38,3,0.5635234415531158
1,1,40,3,0.6939854621887207
